evento_id,entidade_id,split,n_eventos_anteriores,churn_rotulo,churn_baseline,next_category_rotulo,next_category_baseline,next_value_rotulo,next_value_baseline,ltv_rotulo,ltv_baseline
64954,001.162.228-83,train,17,0.0,42.05882352941177,Defensivos,Defensivos,0.0,6.0,7.0,6.0
70959,001.162.228-83,train,18,0.0,43.5,Sementes,Defensivos,5.0,6.0,7.0,6.0
72007,001.162.228-83,train,19,0.0,41.8421052631579,Máquinas,Defensivos,6.0,6.0,7.0,6.0
72251,001.162.228-83,train,20,0.0,39.9,Defensivos,Defensivos,3.0,5.0,3.0,7.0
78353,001.162.228-83,val,21,0.0,41.23809523809524,Defensivos,Defensivos,5.0,5.0,4.0,7.0
85363,001.162.228-83,test,22,0.0,42.95454545454545,Defensivos,Defensivos,6.0,5.0,,7.0
93818,001.162.228-83,test,23,0.0,45.130434782608695,Fertilizantes,Defensivos,6.0,5.0,,7.0
95762,001.162.228-83,test,24,0.0,44.083333333333336,Defensivos,Defensivos,0.0,5.0,,7.0
99736,001.162.228-83,test,25,,43.64,,Defensivos,,6.0,,7.0
1476,001.172.314-95,train,0,1.0,101.99133428646456,Sementes,Defensivos,0.0,0,2.0,2.0
75446,001.172.314-95,val,1,0.0,829.0,Sementes,Máquinas,3.0,3.0,3.0,2.0
85593,001.172.314-95,test,2,0.0,471.5,Fertilizantes,Máquinas,0.0,3.0,,2.0
88754,001.172.314-95,test,3,,326.0,,Sementes,,3.0,,2.0
38848,001.233.245-30,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
14137,001.331.050-08,train,0,1.0,101.99133428646456,Fertilizantes,Defensivos,1.0,0,2.0,2.0
27573,001.331.050-08,train,1,0.0,153.0,Defensivos,Fertilizantes,1.0,2.0,4.0,2.0
28652,001.331.050-08,train,2,0.0,82.5,Defensivos,Fertilizantes,1.0,2.0,4.0,2.0
37265,001.331.050-08,train,3,0.0,87.0,Fertilizantes,Fertilizantes,8.0,1.0,5.0,4.0
39272,001.331.050-08,train,4,0.0,71.0,Defensivos,Fertilizantes,7.0,1.0,4.0,4.0
47465,001.331.050-08,train,5,0.0,75.4,Fertilizantes,Fertilizantes,2.0,1.0,6.0,4.0
47852,001.331.050-08,train,6,0.0,63.5,Fertilizantes,Fertilizantes,9.0,1.0,6.0,4.0
57634,001.331.050-08,train,7,0.0,70.28571428571429,Fertilizantes,Fertilizantes,4.0,1.0,6.0,4.0
61642,001.331.050-08,train,8,0.0,67.375,Fertilizantes,Fertilizantes,3.0,1.0,6.0,4.0
63132,001.331.050-08,train,9,0.0,61.888888888888886,Fertilizantes,Fertilizantes,9.0,1.0,6.0,6.0
64521,001.331.050-08,train,10,0.0,57.3,Fertilizantes,Fertilizantes,0.0,1.0,5.0,6.0
69763,001.331.050-08,train,11,0.0,57.54545454545455,Fertilizantes,Fertilizantes,5.0,1.0,5.0,6.0
78916,001.331.050-08,val,12,0.0,61.25,Defensivos,Fertilizantes,9.0,1.0,7.0,6.0
80210,001.331.050-08,val,13,0.0,57.69230769230769,Máquinas,Fertilizantes,3.0,1.0,6.0,6.0
88117,001.331.050-08,test,14,,59.92857142857143,,Fertilizantes,,1.0,,6.0
12461,001.338.012-50,train,0,1.0,101.99133428646456,Sementes,Defensivos,8.0,0,4.0,2.0
27070,001.338.012-50,train,1,1.0,166.0,Máquinas,Máquinas,3.0,6.0,2.0,4.0
47797,001.338.012-50,train,2,0.0,199.5,Máquinas,Máquinas,2.0,6.0,5.0,4.0
56419,001.338.012-50,train,3,1.0,165.33333333333334,Máquinas,Máquinas,9.0,6.0,2.0,4.0
99008,001.338.012-50,test,4,,241.75,,Máquinas,,6.0,,2.0
17933,001.365.753-40,train,0,1.0,101.99133428646456,Defensivos,Defensivos,3.0,0,2.0,2.0
39902,001.365.753-40,train,1,1.0,248.0,Defensivos,Sementes,6.0,1.0,5.0,2.0
52533,001.365.753-40,train,2,0.0,196.0,Defensivos,Sementes,7.0,1.0,5.0,2.0
53661,001.365.753-40,train,3,0.0,134.66666666666666,Sementes,Defensivos,4.0,1.0,4.0,5.0
54104,001.365.753-40,train,4,0.0,102.25,Defensivos,Defensivos,7.0,1.0,3.0,5.0
62094,001.365.753-40,train,5,1.0,100.4,Defensivos,Defensivos,8.0,1.0,4.0,5.0
75371,001.365.753-40,val,6,0.0,108.83333333333333,Defensivos,Defensivos,5.0,7.0,3.0,5.0
84896,001.365.753-40,test,7,0.0,108.57142857142857,Defensivos,Defensivos,4.0,7.0,,5.0
94613,001.365.753-40,test,8,,108.25,,Defensivos,,7.0,,5.0
4974,001.385.631-60,train,0,1.0,101.99133428646456,Fertilizantes,Defensivos,7.0,0,2.0,2.0
28801,001.385.631-60,train,1,1.0,265.0,,Sementes,,9.0,2.0,2.0
7449,001.509.218-61,train,0,1.0,101.99133428646456,Sementes,Defensivos,3.0,0,2.0,2.0
42269,001.509.218-61,train,1,0.0,391.0,Fertilizantes,Máquinas,6.0,9.0,3.0,2.0
42967,001.509.218-61,train,2,1.0,199.5,,Máquinas,,9.0,2.0,2.0
59346,001.610.645-82,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
2356,001.736.067-68,train,0,1.0,101.99133428646456,Máquinas,Defensivos,2.0,0,5.0,2.0
17680,001.736.067-68,train,1,0.0,164.0,Defensivos,Defensivos,3.0,7.0,2.0,5.0
18455,001.736.067-68,train,2,1.0,86.5,Defensivos,Defensivos,8.0,7.0,4.0,5.0
34017,001.736.067-68,train,3,0.0,116.33333333333333,Sementes,Defensivos,3.0,7.0,7.0,5.0
34018,001.736.067-68,train,4,0.0,87.25,Máquinas,Defensivos,6.0,7.0,7.0,5.0
43706,001.736.067-68,train,5,1.0,91.8,Defensivos,Defensivos,9.0,3.0,2.0,7.0
94264,001.736.067-68,test,6,0.0,171.66666666666666,Defensivos,Defensivos,7.0,3.0,,7.0
98245,001.736.067-68,test,7,,152.42857142857142,,Defensivos,,3.0,,7.0
39761,001.763.302-83,train,0,1.0,101.99133428646456,Sementes,Defensivos,2.0,0,2.0,2.0
68601,001.763.302-83,train,1,1.0,330.0,,Sementes,,7.0,2.0,2.0
75488,001.977.526-16,val,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
3714,002.175.977-42,train,0,0.0,101.99133428646456,Sementes,Defensivos,9.0,0,8.0,2.0
9709,002.175.977-42,train,1,0.0,63.0,Máquinas,Sementes,8.0,7.0,8.0,8.0
11282,002.175.977-42,train,2,0.0,40.0,Máquinas,Sementes,2.0,7.0,6.0,8.0
12871,002.175.977-42,train,3,0.0,32.333333333333336,Sementes,Sementes,1.0,7.0,4.0,8.0
14402,002.175.977-42,train,4,0.0,28.5,Defensivos,Sementes,5.0,7.0,3.0,8.0
15480,002.175.977-42,train,5,0.0,25.2,Sementes,Sementes,2.0,7.0,3.0,8.0
24139,002.175.977-42,train,6,0.0,37.5,Sementes,Sementes,1.0,7.0,2.0,8.0
31290,002.175.977-42,train,7,0.0,43.57142857142857,Fertilizantes,Sementes,0.0,2.0,3.0,8.0
34735,002.175.977-42,train,8,0.0,43.0,Máquinas,Sementes,0.0,2.0,3.0,3.0
45396,002.175.977-42,train,9,0.0,51.666666666666664,Sementes,Sementes,6.0,2.0,4.0,3.0
55661,002.175.977-42,train,10,0.0,58.0,Máquinas,Sementes,0.0,2.0,5.0,3.0
55663,002.175.977-42,train,11,0.0,52.72727272727273,Sementes,Sementes,6.0,2.0,4.0,3.0
62880,002.175.977-42,train,12,0.0,55.416666666666664,Fertilizantes,Sementes,4.0,0.0,5.0,3.0
65977,002.175.977-42,train,13,1.0,53.92307692307692,Sementes,Sementes,8.0,0.0,5.0,3.0
77340,002.175.977-42,val,14,0.0,59.214285714285715,Fertilizantes,Sementes,8.0,0.0,8.0,3.0
78586,002.175.977-42,val,15,0.0,56.13333333333333,Sementes,Sementes,8.0,0.0,8.0,3.0
82356,002.175.977-42,val,16,0.0,55.25,Sementes,Sementes,3.0,0.0,8.0,3.0
82382,002.175.977-42,val,17,0.0,52.05882352941177,Sementes,Sementes,6.0,8.0,8.0,8.0
83504,002.175.977-42,test,18,0.0,49.888888888888886,Defensivos,Sementes,5.0,8.0,,8.0
84013,002.175.977-42,test,19,0.0,47.578947368421055,Sementes,Sementes,9.0,8.0,,8.0
84172,002.175.977-42,test,20,0.0,45.3,Máquinas,Sementes,3.0,8.0,,8.0
84733,002.175.977-42,test,21,0.0,43.42857142857143,Sementes,Sementes,7.0,8.0,,8.0
84734,002.175.977-42,test,22,0.0,41.45454545454545,Máquinas,Sementes,3.0,8.0,,8.0
86963,002.175.977-42,test,23,0.0,40.78260869565217,Defensivos,Sementes,8.0,8.0,,8.0
86965,002.175.977-42,test,24,0.0,39.083333333333336,Sementes,Sementes,7.0,8.0,,8.0
88064,002.175.977-42,test,25,,38.0,,Sementes,,8.0,,8.0
13529,002.219.609-96,train,0,0.0,101.99133428646456,Fertilizantes,Defensivos,2.0,0,2.0,2.0
17283,002.219.609-96,train,1,1.0,42.0,Defensivos,Fertilizantes,4.0,8.0,2.0,2.0
51066,002.219.609-96,train,2,0.0,212.0,Máquinas,Fertilizantes,7.0,8.0,7.0,2.0
54670,002.219.609-96,train,3,0.0,155.0,Defensivos,Fertilizantes,0.0,8.0,2.0,2.0
55655,002.219.609-96,train,4,1.0,118.75,Máquinas,Fertilizantes,4.0,8.0,2.0,2.0
82031,002.219.609-96,val,5,1.0,155.2,,Fertilizantes,,8.0,2.0,2.0
55290,002.275.959-04,train,0,1.0,101.99133428646456,,Defensivos,,0,2.0,2.0
7854,002.277.686-98,train,0,0.0,101.99133428646456,Sementes,Defensivos,2.0,0,3.0,2.0
14301,002.277.686-98,train,1,0.0,70.0,Sementes,Sementes,4.0,3.0,6.0,3.0
15386,002.277.686-98,train,2,0.0,41.0,Fertilizantes,Sementes,8.0,3.0,5.0,3.0
24329,002.277.686-98,train,3,0.0,61.333333333333336,Fertilizantes,Sementes,8.0,3.0,5.0,3.0
27448,002.277.686-98,train,4,0.0,55.0,Defensivos,Sementes,3.0,3.0,4.0,5.0
31356,002.277.686-98,train,5,0.0,52.6,Sementes,Sementes,5.0,8.0,4.0,5.0
33677,002.277.686-98,train,6,0.0,48.166666666666664,Sementes,Sementes,6.0,8.0,3.0,5.0
37416,002.277.686-98,train,7,1.0,47.285714285714285,Sementes,Sementes,9.0,8.0,2.0,5.0
69028,002.277.686-98,train,8,0.0,86.5,Máquinas,Sementes,0.0,8.0,4.0,5.0
75662,002.277.686-98,val,9,0.0,85.22222222222223,Defensivos,Sementes,0.0,8.0,2.0,4.0
78694,002.277.686-98,val,10,1.0,80.1,Fertilizantes,Sementes,1.0,8.0,2.0,4.0
90142,002.277.686-98,test,11,,84.45454545454545,,Sementes,,8.0,,4.0
53191,002.315.863-88,train,0,0.0,101.99133428646456,Defensivos,Defensivos,0.0,0,2.0,2.0
54215,002.315.863-88,train,1,1.0,11.0,Defensivos,Defensivos,5.0,5.0,2.0,2.0
72395,002.315.863-88,train,2,1.0,110.5,,Defensivos,,5.0,2.0,2.0
10961,002.405.925-06,train,0,0.0,101.99133428646456,Fertilizantes,Defensivos,4.0,0,4.0,2.0
11996,002.405.925-06,train,1,1.0,12.0,Defensivos,Máquinas,3.0,9.0,3.0,4.0
25257,002.405.925-06,train,2,0.0,81.0,Fertilizantes,Máquinas,2.0,9.0,3.0,4.0
25263,002.405.925-06,train,3,0.0,54.0,Sementes,Máquinas,2.0,9.0,2.0,3.0
33267,002.405.925-06,train,4,0.0,63.0,Sementes,Fertilizantes,1.0,9.0,2.0,3.0
41446,002.405.925-06,train,5,0.0,68.8,Sementes,Fertilizantes,3.0,2.0,8.0,3.0
49663,002.405.925-06,train,6,0.0,72.83333333333333,Máquinas,Fertilizantes,8.0,2.0,9.0,3.0
50260,002.405.925-06,train,7,0.0,63.285714285714285,Sementes,Sementes,0.0,2.0,7.0,3.0
50360,002.405.925-06,train,8,0.0,55.5,Máquinas,Sementes,4.0,2.0,6.0,3.0
50361,002.405.925-06,train,9,0.0,49.333333333333336,Sementes,Sementes,4.0,2.0,4.0,3.0
57571,002.405.925-06,train,10,0.0,52.7,Defensivos,Sementes,7.0,2.0,7.0,3.0
57950,002.405.925-06,train,11,1.0,48.27272727272727,Máquinas,Sementes,7.0,4.0,7.0,3.0
71914,002.405.925-06,train,12,0.0,57.666666666666664,Sementes,Sementes,1.0,4.0,4.0,7.0
76702,002.405.925-06,val,13,0.0,57.38461538461539,Defensivos,Sementes,6.0,4.0,4.0,7.0
78503,002.405.925-06,val,14,0.0,54.714285714285715,Defensivos,Sementes,2.0,4.0,3.0,4.0
81307,002.405.925-06,val,15,0.0,53.13333333333333,Sementes,Sementes,2.0,4.0,5.0,4.0
83548,002.405.925-06,test,16,1.0,51.375,Sementes,Sementes,9.0,4.0,,4.0
95230,002.405.925-06,test,17,0.0,55.88235294117647,Sementes,Sementes,5.0,2.0,,4.0
97980,002.405.925-06,test,18,0.0,54.22222222222222,Fertilizantes,Sementes,4.0,2.0,,4.0
98222,002.405.925-06,test,19,,51.473684210526315,,Sementes,,2.0,,4.0
245,002.501.438-28,train,0,0.0,101.99133428646456,Defensivos,Defensivos,2.0,0,6.0,2.0
2206,002.501.438-28,train,1,0.0,15.0,Defensivos,Defensivos,2.0,6.0,6.0,6.0
2376,002.501.438-28,train,2,0.0,8.0,Defensivos,Defensivos,6.0,6.0,6.0,6.0
2930,002.501.438-28,train,3,0.0,7.0,Defensivos,Defensivos,5.0,2.0,5.0,6.0
8146,002.501.438-28,train,4,0.0,18.75,Defensivos,Defensivos,4.0,2.0,6.0,6.0
8251,002.501.438-28,train,5,0.0,15.2,Defensivos,Defensivos,4.0,2.0,5.0,6.0
12236,002.501.438-28,train,6,0.0,19.833333333333332,Defensivos,Defensivos,8.0,2.0,6.0,6.0
12459,002.501.438-28,train,7,1.0,17.428571428571427,Defensivos,Defensivos,8.0,2.0,5.0,6.0
24155,002.501.438-28,train,8,0.0,31.75,Defensivos,Defensivos,0.0,2.0,7.0,6.0
24352,002.501.438-28,train,9,0.0,28.444444444444443,Defensivos,Defensivos,5.0,2.0,7.0,6.0
24414,002.501.438-28,train,10,0.0,25.7,Defensivos,Defensivos,1.0,2.0,7.0,6.0
27823,002.501.438-28,train,11,0.0,26.90909090909091,Defensivos,Defensivos,5.0,2.0,9.0,6.0
28781,002.501.438-28,train,12,0.0,25.5,Máquinas,Defensivos,5.0,2.0,9.0,6.0
29210,002.501.438-28,train,13,1.0,23.923076923076923,Máquinas,Defensivos,8.0,5.0,8.0,6.0
42865,002.501.438-28,train,14,0.0,33.214285714285715,Defensivos,Defensivos,6.0,5.0,6.0,6.0
45382,002.501.438-28,train,15,0.0,32.86666666666667,Defensivos,Defensivos,6.0,5.0,6.0,6.0
50779,002.501.438-28,train,16,0.0,34.625,Fertilizantes,Defensivos,3.0,5.0,5.0,6.0
51701,002.501.438-28,train,17,0.0,33.23529411764706,Defensivos,Defensivos,4.0,5.0,5.0,6.0
56817,002.501.438-28,train,18,0.0,34.611111111111114,Fertilizantes,Defensivos,7.0,5.0,5.0,6.0
57496,002.501.438-28,train,19,0.0,33.21052631578947,Defensivos,Defensivos,2.0,5.0,3.0,6.0
60238,002.501.438-28,train,20,0.0,33.2,Defensivos,Defensivos,5.0,5.0,3.0,6.0
61122,002.501.438-28,train,21,1.0,32.095238095238095,Máquinas,Defensivos,8.0,5.0,2.0,6.0
