evento_id,entidade_id,split,valor,desconto,valor_bucket,desconto_bucket
84,417.181.639-40,train,7418.37,205.12,7,3
85,139.744.223-90,train,3471.66,186.02,3,3
86,729.524.182-50,train,2734.12,217.1,2,3
87,102.567.758-77,train,1041.86,60.43,0,0
88,803.863.816-66,train,3007.26,87.62,2,1
89,826.102.522-50,train,3628.83,266.13,4,5
90,493.714.856-71,train,6094.35,392.95,6,6
91,493.714.856-71,train,6214.67,95.73,6,1
92,131.634.089-90,train,3597.96,46.36,4,0
93,615.056.177-15,train,10317.0,588.04,8,7
94,698.755.611-34,train,2237.84,228.79,1,3
95,596.991.678-15,train,5078.73,628.32,5,8
96,098.519.025-60,train,15245.46,2328.06,9,9
97,069.456.702-79,train,17360.35,807.32,9,8
98,164.080.868-02,train,39549.32,4418.45,5,7
99,387.887.717-09,train,8718.01,510.65,7,6
100,427.975.592-23,train,2575.35,88.41,2,1
101,847.072.566-19,train,1886.85,138.05,1,2
102,309.107.101-47,train,7627.85,287.91,7,5
103,023.777.435-60,train,3910.07,248.09,3,4
104,123.597.830-33,train,2756.2,246.7,2,4
105,305.338.675-50,train,7494.44,589.26,7,8
106,395.958.768-60,train,10583.13,1537.19,8,9
107,428.534.738-56,train,20046.71,2627.65,2,5
108,504.465.573-23,train,1999.48,78.26,2,1
109,589.211.654-95,train,2685.74,119.2,2,2
110,793.301.407-00,train,17409.81,1124.75,2,2
111,243.782.394-85,train,2324.54,292.46,2,4
112,666.874.255-60,train,8266.88,508.5,0,1
113,666.874.255-60,train,6360.36,880.16,6,8
114,493.046.387-47,train,169438.98,15647.1,9,9
115,467.120.575-07,train,1199.31,193.85,0,3
116,090.579.291-20,train,11642.34,672.96,8,8
117,624.375.015-92,train,48018.12,1682.22,6,3
118,939.132.963-28,train,22508.7,972.36,9,9
119,683.972.155-81,train,2020.8,182.56,2,3
120,286.421.698-18,train,21931.59,1747.85,2,3
121,576.369.487-29,train,1287.79,46.88,1,0
122,152.524.279-25,train,21789.04,1598.24,9,9
123,107.073.293-10,train,1198.93,170.51,0,3
124,310.555.271-50,train,1190.54,114.96,0,2
125,070.337.859-76,train,810.76,61.05,0,0
126,249.868.535-97,train,11951.54,458.38,8,6
127,538.700.196-97,train,9848.65,642.47,8,8
128,612.227.191-85,train,16174.28,2130.51,9,9
129,079.923.286-63,train,2907.03,186.81,3,3
130,909.976.126-06,train,4071.56,274.75,4,4
131,115.657.493-59,train,3446.37,428.23,3,6
132,281.445.317-36,train,197571.21,3283.49,9,6
133,128.103.743-50,train,5284.12,242.33,5,4
134,153.587.965-33,train,6453.43,533.09,6,7
135,762.276.937-15,train,39723.81,3434.15,5,6
136,293.781.629-08,train,2161.55,238.33,2,4
137,520.212.619-05,train,5511.27,99.21,6,1
138,669.846.941-67,train,4637.36,106.84,5,2
139,402.660.242-70,train,2570.39,196.39,2,3
140,669.846.941-67,train,8322.47,444.83,7,6
141,876.143.285-74,train,8273.14,1325.86,7,9
142,642.233.786-86,train,141471.55,7339.95,9,8
143,141.148.154-22,train,2643.08,197.16,2,3
144,929.748.918-45,train,7641.4,639.5,7,8
145,622.879.020-07,train,6709.01,310.39,6,5
146,351.972.936-91,train,4867.83,480.94,5,6
147,191.992.798-00,train,5968.81,131.04,6,2
148,612.227.191-85,train,2141.33,294.35,1,4
149,718.896.983-34,train,2019.95,164.3,1,2
150,109.498.462-01,train,3860.74,149.28,4,3
151,915.567.696-01,train,10144.37,777.23,1,1
152,048.094.477-66,train,4162.01,219.79,4,4
153,084.113.701-35,train,38386.78,742.52,5,1
154,863.344.523-98,train,2300.66,366.39,2,5
155,829.485.613-45,train,2282.38,212.39,2,3
156,131.357.955-60,train,2675.95,186.45,2,3
157,695.066.670-55,train,10070.55,385.23,8,5
158,126.381.049-73,train,225461.2,12615.17,9,9
159,367.779.201-02,train,6659.38,859.04,7,9
160,414.362.295-53,train,5572.48,274.52,5,4
161,669.313.079-83,train,4634.12,441.86,5,7
162,765.278.407-72,train,2232.0,166.62,2,3
163,732.530.367-07,train,8673.74,437.99,0,0
164,713.576.900-70,train,49536.85,3771.35,6,6
165,118.719.109-43,train,936.12,118.22,0,1
166,939.079.199-55,train,8675.97,1204.27,8,9
167,909.834.288-40,train,10167.36,1404.84,8,9
168,816.079.610-24,train,2728.34,169.86,3,3
169,587.174.335-84,train,5835.36,232.66,6,4
170,295.406.012-31,train,16415.88,632.52,2,1
171,646.215.428-42,train,56923.5,5030.4,6,7
172,928.645.003-61,train,28003.03,1730.77,9,9
173,481.530.410-61,train,7182.87,406.83,6,5
174,353.461.799-17,train,4304.41,333.74,4,5
175,914.970.921-67,train,73144.5,10919.01,7,9
176,258.178.064-95,train,6022.36,616.09,6,7
177,833.371.420-01,train,7776.89,879.19,7,8
178,706.626.487-81,train,3921.52,214.64,3,3
179,345.783.804-67,train,1334.9,60.5,1,1
180,907.689.836-73,train,3299.92,263.92,3,4
181,451.865.654-74,train,6575.0,491.62,6,7
182,410.663.545-37,train,31284.22,1838.38,9,9
183,349.845.737-32,train,788.67,86.93,0,1
184,932.656.892-04,train,454.33,32.3,0,0
185,703.276.511-48,train,816.85,43.24,0,0
186,075.051.789-11,train,5509.54,771.08,5,8
187,245.964.820-04,train,10799.4,323.56,8,5
188,078.823.231-28,train,25472.34,1220.58,3,2
189,309.827.371-22,train,44097.78,5631.9,5,8
190,953.090.666-83,train,24271.9,2062.0,9,9
191,342.400.072-83,train,21670.17,1093.07,2,2
192,075.576.753-55,train,31370.53,1196.69,4,2
193,837.506.828-44,train,2939.35,338.75,3,5
194,666.934.968-81,train,18681.0,2572.6,9,9
195,803.369.652-49,train,12491.57,781.73,8,8
196,061.115.624-52,train,72448.39,7001.05,7,8
197,091.331.758-61,train,6350.66,234.38,6,3
198,308.436.578-47,train,8893.77,957.12,7,8
199,166.702.452-38,train,9578.32,620.4,7,7
200,976.813.258-24,train,9607.01,715.41,0,1
201,520.849.920-79,train,16515.72,1138.06,2,2
202,538.343.261-27,train,3534.07,322.81,3,5
203,770.171.272-00,train,2916.73,121.22,2,1
204,990.818.699-06,train,4549.53,307.75,4,4
205,665.049.404-60,train,5413.64,406.41,0,0
206,601.264.219-94,train,4992.7,197.55,5,3
207,511.935.661-34,train,5466.79,73.67,5,1
208,017.952.622-73,train,22330.09,3362.39,2,6
209,050.338.967-68,train,1480.98,91.86,1,1
210,321.412.637-78,train,4886.12,336.07,4,5
211,552.138.069-88,train,2601.1,79.1,2,1
212,714.198.039-30,train,2027.09,165.69,1,2
213,851.348.742-20,train,4002.64,79.66,3,1
214,134.506.884-05,train,6935.84,982.08,7,9
215,817.094.288-80,train,6698.74,382.86,7,6
216,848.525.050-80,train,3568.89,115.17,3,1
217,981.776.837-64,train,1199.25,92.71,1,1
218,246.903.458-21,train,9873.96,719.16,8,8
219,970.785.889-32,train,30311.54,3995.94,4,6
220,302.571.312-72,train,64177.29,3222.91,7,6
221,457.056.260-45,train,9652.82,1077.28,8,9
222,524.892.229-10,train,3520.6,233.57,3,4
223,607.282.487-00,train,5202.42,252.3,5,4
224,388.752.943-05,train,570.41,45.06,0,0
225,000.369.413-52,train,13981.1,888.16,1,2
226,209.773.566-55,train,6881.68,1157.24,6,9
227,164.613.241-60,train,1456.15,58.83,1,0
228,672.733.895-79,train,14329.18,1759.22,9,9
229,775.806.887-19,train,14743.73,1007.77,9,9
230,611.113.794-83,train,4974.36,311.9,4,4
231,236.611.727-27,train,9262.9,324.7,8,5
232,352.855.101-12,train,32149.74,3275.06,4,6
233,104.767.548-01,train,5270.86,268.34,5,4
234,352.738.219-40,train,5559.25,284.07,6,5
235,949.454.182-09,train,61229.14,2467.66,7,5
236,007.434.169-37,train,15300.31,568.43,9,7
237,404.121.840-36,train,5398.24,767.71,6,8
238,278.057.164-04,train,23769.11,1753.8,9,9
239,839.326.731-58,train,7059.27,436.03,7,7
240,920.199.411-71,train,4108.11,346.24,4,6
241,717.237.444-41,train,6386.8,54.28,6,0
242,152.468.949-16,train,142191.46,2487.94,9,5
243,043.691.669-00,train,2420.73,280.17,2,4
244,102.298.337-72,train,1445.53,186.62,1,3
245,002.501.438-28,train,7047.29,346.93,6,5
246,839.938.093-86,train,4415.28,353.84,5,6
247,821.238.919-75,train,4235.45,645.52,5,8
248,302.274.570-21,train,7576.29,278.67,6,4
249,728.856.086-41,train,5018.72,664.06,5,8
250,521.640.025-71,train,1213.24,39.04,0,0
251,252.009.561-02,train,40756.82,1788.13,5,4
252,606.881.178-64,train,871.74,127.53,0,2
253,606.881.178-64,train,2472.34,264.89,2,4
254,988.297.433-30,train,17731.1,2830.77,2,5
255,306.561.641-66,train,452.69,46.69,0,0
256,614.021.863-20,train,6639.75,252.1,7,4
257,118.628.097-20,train,8095.06,248.78,7,4
258,837.369.830-26,train,1052.64,54.39,0,0
259,716.571.400-67,train,6204.08,162.7,6,3
260,909.748.398-09,train,1920.15,112.47,2,2
261,971.915.626-09,train,6226.53,655.86,6,8
262,206.150.716-60,train,2193.92,104.05,2,2
263,960.786.195-78,train,3734.83,146.3,4,2
264,817.056.986-97,train,8563.79,577.21,7,7
265,505.889.084-44,train,1750.36,98.46,1,1
266,162.617.449-04,train,1352.26,54.61,0,0
267,123.529.236-38,train,1562.15,128.98,1,2
268,495.389.484-75,train,2816.55,273.11,3,4
269,743.035.917-50,train,11130.07,623.48,8,7
270,093.546.277-57,train,2316.28,120.3,2,2
271,473.607.172-99,train,3007.06,81.2,3,1
272,272.745.213-65,train,1543.9,99.82,1,1
273,593.074.035-62,train,6249.6,212.4,6,3
274,787.925.559-18,train,5598.13,596.31,5,7
275,213.522.227-52,train,797.39,42.46,0,0
276,831.453.190-19,train,3727.44,409.62,4,6
277,473.527.935-00,train,8697.52,391.48,7,5
278,473.527.935-00,train,2558.08,130.22,2,2
279,017.557.665-30,train,2868.04,47.3,3,0
280,825.012.101-58,train,552.97,31.63,0,0
281,911.948.584-06,train,2310.96,379.88,2,6
282,462.884.922-64,train,5920.27,174.11,6,3
283,993.376.309-15,train,11929.16,1345.64,9,9
284,676.612.127-06,train,2117.96,126.56,2,2
285,641.572.487-83,train,8187.3,407.42,7,6
286,664.980.342-11,train,5351.58,436.59,5,6
287,465.538.493-07,train,30372.14,1112.34,9,9
288,565.473.763-54,train,5872.37,366.87,6,5
289,708.535.790-83,train,2893.58,119.2,3,2
290,158.565.129-01,train,16159.15,218.68,9,3
291,236.482.679-90,train,7304.49,757.01,6,8
292,209.800.723-01,train,9240.41,988.51,8,9
293,881.222.168-89,train,1492.98,81.88,1,1
294,909.834.712-66,train,6965.32,285.98,6,4
295,560.491.906-31,train,4873.26,229.98,4,3
296,008.880.025-30,train,6216.41,571.0,5,7
297,158.565.129-01,train,2304.83,161.34,2,3
298,803.814.788-07,train,8532.37,1023.87,8,9
299,709.355.860-75,train,5110.15,321.35,5,5
300,612.949.182-49,train,7126.95,760.95,6,8
301,692.169.588-39,train,1828.41,104.78,1,1
302,088.869.967-05,train,5411.42,425.33,5,6
303,389.132.354-98,train,5059.59,343.02,5,5
304,313.295.108-01,train,22481.4,1901.4,9,9
305,471.299.939-01,train,441.27,23.91,0,0
306,106.455.571-37,train,7572.3,591.96,7,7
307,114.391.143-15,train,3020.16,155.64,2,2
308,420.244.893-62,train,7885.41,532.65,8,7
309,815.038.628-95,train,1862.53,50.4,2,0
310,978.742.852-12,train,2044.14,235.66,2,4
311,276.233.509-43,train,23596.35,2210.53,9,9
312,158.565.129-01,train,9029.48,597.55,8,8
313,136.770.569-00,train,2102.33,159.28,1,2
314,580.795.923-06,train,5642.62,244.7,6,4
315,871.554.992-50,train,22762.85,1576.91,3,3
316,846.489.425-23,train,548.11,31.67,0,0
317,537.262.965-73,train,2957.48,146.17,3,2
318,643.547.698-59,train,1259.64,161.98,1,3
319,960.075.159-58,train,4168.85,267.4,3,4
320,829.649.644-59,train,6944.38,972.74,6,9
321,388.471.928-97,train,4775.09,499.63,5,7
322,488.177.574-03,train,11432.37,1608.63,8,9
323,465.100.785-62,train,5935.27,181.49,6,3
324,676.812.258-46,train,10175.97,206.88,8,4
325,062.556.188-03,train,16540.73,417.12,9,6
326,101.297.961-07,train,5055.04,287.41,4,4
327,947.400.332-75,train,5676.01,781.67,6,8
328,618.132.508-55,train,6462.81,172.53,6,3
329,777.810.437-74,train,1148.46,39.36,1,0
330,563.485.151-33,train,4844.45,715.96,4,8
331,106.811.484-38,train,8756.83,312.25,7,5
332,325.784.018-70,train,1296.33,35.05,1,0
333,364.825.121-00,train,9395.18,706.02,8,8
334,824.999.389-60,train,54930.55,4260.56,6,7
335,934.420.063-76,train,3779.21,281.49,4,5
336,904.617.367-48,train,2434.37,241.65,2,4
337,644.918.761-18,train,2788.67,268.13,3,5
338,599.678.580-36,train,9204.21,405.11,8,6
339,320.663.918-24,train,19946.09,1877.96,9,9
340,986.120.443-16,train,1948.65,53.47,1,0
341,049.788.910-27,train,6888.61,524.11,6,7
342,582.503.972-40,train,2410.42,50.15,2,0
343,387.871.812-82,train,7200.66,604.42,7,8
344,765.065.132-09,train,99275.22,4356.81,8,7
345,438.690.710-60,train,5091.88,308.3,4,4
346,209.885.840-00,train,13048.62,706.8,9,8
347,232.516.365-29,train,6868.99,520.61,6,7
348,747.576.463-05,train,2998.62,24.88,2,0
349,846.470.252-33,train,385.64,38.9,0,0
350,427.110.449-39,train,4230.98,315.7,4,5
351,496.098.059-14,train,1088.56,22.55,0,0
352,073.155.343-85,train,18073.92,2159.18,2,4
353,213.522.227-52,train,17709.42,1265.58,9,9
354,641.714.093-81,train,8641.59,302.41,7,5
355,646.403.444-81,train,2859.74,148.18,3,2
356,692.740.540-25,train,10172.06,1422.55,8,9
357,464.864.862-52,train,8312.18,645.35,0,1
358,473.911.097-03,train,8147.34,1128.58,7,9
359,233.822.347-00,train,1891.7,86.35,2,1
360,901.129.905-17,train,12014.4,1356.09,8,9
361,431.180.243-99,train,14288.43,834.85,1,1
362,500.877.324-08,train,9981.18,831.66,8,8
363,039.613.847-03,train,65580.38,1857.32,7,4
364,733.035.952-16,train,2170.47,162.49,2,3
365,183.707.220-59,train,5238.6,550.4,6,7
366,811.039.827-88,train,6738.47,569.57,6,7
367,504.522.709-28,train,26443.48,1493.48,3,3
368,066.444.677-92,train,1272.7,35.98,0,0
369,702.645.606-71,train,14371.2,1948.35,1,4
370,405.735.833-15,train,5034.74,553.5,4,7
371,636.948.853-40,train,6989.37,458.88,6,6
372,094.096.877-05,train,6420.73,1006.13,6,9
373,885.398.977-76,train,1882.76,230.24,1,4
374,606.872.974-51,train,4300.22,248.73,4,4
375,425.432.397-23,train,4245.05,32.07,5,0
376,589.768.972-50,train,6880.68,276.82,6,4
377,908.415.870-94,train,69411.48,3838.42,7,6
378,003.250.720-86,train,14765.99,968.31,9,9
379,563.947.932-99,train,19459.17,2049.79,9,9
380,621.588.107-42,train,8752.57,427.79,7,6
381,548.937.343-18,train,5246.91,344.67,6,6
382,330.769.236-41,train,6858.44,155.62,6,2
383,102.010.755-39,train,5127.79,370.19,4,5
384,796.430.240-08,train,4928.15,10.65,4,0
385,521.529.610-30,train,123572.66,5565.5,9,8
386,199.452.254-21,train,1956.86,229.54,1,4
387,711.842.039-54,train,3141.07,223.85,3,4
388,233.469.845-83,train,4155.66,309.18,3,4
389,071.213.130-22,train,1919.0,195.74,1,3
390,109.190.409-00,train,26242.04,2939.51,3,5
391,352.469.733-01,train,2277.97,169.08,2,3
392,355.967.780-79,train,5650.45,490.43,5,6
393,800.088.075-07,train,6896.22,338.94,7,5
394,330.602.393-04,train,18109.85,204.97,9,3
395,654.973.220-42,train,6650.89,183.76,6,3
396,583.456.886-67,train,3029.62,323.1,2,4
397,994.820.774-23,train,5066.38,122.5,5,2
398,213.522.227-52,train,1952.49,165.12,2,3
399,432.028.243-41,train,3053.01,207.47,3,3
400,311.789.575-27,train,1406.92,77.08,1,1
401,217.481.298-30,train,2305.74,80.66,2,1
402,489.680.787-18,train,18955.85,2005.55,9,9
403,433.462.717-06,train,24281.66,1769.94,3,4
404,469.944.857-73,train,4518.75,323.65,4,5
405,644.840.641-70,train,70840.31,3366.58,7,6
406,597.387.055-33,train,11095.23,661.57,8,8
407,555.832.252-70,train,1081.3,32.17,0,0
408,844.077.752-38,train,8165.27,747.73,7,8
409,312.761.824-73,train,9828.4,714.96,8,8
410,853.785.769-62,train,936.61,99.67,0,1
411,251.163.991-25,train,8245.76,412.84,0,0
412,134.723.094-74,train,16268.93,1163.44,9,9
413,878.117.744-53,train,3231.18,175.42,3,2
414,266.419.435-69,train,8067.28,934.04,7,8
415,570.139.111-60,train,14052.13,1483.88,9,9
416,294.923.414-33,train,1536.45,181.38,1,3
417,762.671.161-07,train,7687.51,466.04,7,6
418,352.512.382-58,train,8523.13,1114.16,7,9
419,332.157.531-03,train,12148.95,505.75,8,6
420,596.217.418-66,train,2337.04,310.33,2,4
421,866.258.107-20,train,12772.98,1059.54,9,9
422,035.309.369-60,train,12694.32,473.73,9,7
423,240.541.589-51,train,2246.29,213.05,1,3
424,805.969.057-42,train,5274.03,337.79,0,0
425,062.001.508-00,train,3808.85,357.49,3,5
426,198.164.495-44,train,6252.98,705.48,0,1
427,451.106.067-30,train,2215.93,186.55,2,3
428,697.976.364-45,train,7850.75,855.49,7,9
429,704.765.567-08,train,2878.58,38.53,3,0
430,261.468.278-00,train,3278.38,550.9,3,7
431,716.406.203-03,train,2071.52,30.68,2,0
432,112.309.315-62,train,1014.37,88.21,0,1
433,078.192.818-47,train,64599.75,8623.35,7,9
434,854.190.348-67,train,6477.76,322.34,6,4
435,439.395.014-33,train,2430.11,168.19,2,2
436,741.641.100-90,train,8773.69,415.21,7,6
437,569.145.993-78,train,7248.68,658.97,6,7
438,656.041.362-47,train,3218.81,125.68,3,2
439,741.641.100-90,train,1403.61,77.43,1,1
440,084.938.793-04,train,2531.69,92.54,2,1
441,267.792.153-76,train,4965.95,601.41,5,8
442,392.248.915-00,train,14351.75,713.77,9,8
443,338.460.441-56,train,2545.31,158.29,2,2
444,242.774.302-01,train,704.65,39.77,0,0
445,643.069.423-25,train,18950.39,1158.13,2,2
446,334.683.573-11,train,35187.51,1257.13,4,2
447,306.561.641-66,train,2157.14,159.68,2,2
448,958.744.889-87,train,4436.52,207.66,4,3
449,236.630.421-89,train,1510.75,95.82,1,1
450,970.748.288-58,train,2922.86,112.74,2,1
451,359.408.753-00,train,11207.66,315.44,8,5
452,524.504.310-63,train,38728.57,2773.93,5,5
453,877.920.534-82,train,953.15,72.35,0,1
454,745.660.519-00,train,4716.21,266.79,5,4
455,481.698.428-32,train,8121.22,575.58,7,7
456,359.408.753-00,train,72220.5,5801.58,7,8
457,104.689.296-73,train,8064.62,571.7,7,7
458,678.311.787-16,train,1431.67,110.0,1,2
459,850.786.824-06,train,3062.25,480.81,2,6
460,071.147.666-70,train,1658.18,94.98,1,1
461,186.701.451-38,train,4564.87,439.73,4,6
462,745.161.254-63,train,3036.85,158.35,3,2
463,138.984.574-51,train,9676.49,1242.21,8,9
464,192.710.532-30,train,16122.71,769.91,2,1
465,186.701.451-38,train,189979.82,13953.14,9,9
466,501.893.051-93,train,10057.36,567.77,8,7
467,438.293.367-64,train,33772.9,1216.34,4,2
468,306.529.892-92,train,1912.14,92.56,1,1
469,782.800.322-66,train,2323.36,92.03,2,1
470,489.877.473-36,train,95601.11,6482.41,8,8
471,516.121.966-16,train,2328.13,15.01,2,0
472,878.129.176-06,train,6990.81,819.09,7,8
473,049.877.136-91,train,2800.53,231.93,3,4
474,328.703.611-49,train,850.84,52.43,0,0
475,491.890.462-93,train,5149.21,301.54,4,4
476,932.537.558-35,train,2003.04,35.85,2,0
477,593.520.210-70,train,68915.1,1921.12,7,4
478,857.904.871-06,train,70771.04,5597.06,7,8
479,257.689.637-58,train,8340.06,469.83,7,6
480,643.678.418-71,train,13778.83,1218.57,9,9
481,350.854.706-05,train,5786.41,751.55,6,8
482,765.568.432-45,train,162379.51,19582.55,9,9
483,147.853.277-74,train,1577.83,163.17,1,2
484,969.073.039-81,train,4320.37,216.67,4,3
485,406.982.410-37,train,29517.74,3451.16,9,9
486,508.732.699-42,train,5964.43,91.41,6,1
487,291.227.122-32,train,2891.97,431.58,3,6
488,688.133.159-29,train,5706.85,285.31,5,4
489,014.310.262-12,train,1294.61,17.67,1,0
490,722.049.700-85,train,1728.92,97.0,1,1
491,321.849.943-75,train,13880.18,1541.23,9,9
492,366.729.278-32,train,3991.83,240.97,3,3
493,963.080.221-01,train,7869.45,474.43,0,0
494,462.884.922-64,train,3844.91,548.01,4,7
495,155.977.779-63,train,5313.31,528.65,6,7
496,538.343.261-27,train,17153.46,1349.55,9,9
497,343.996.301-24,train,3178.9,444.9,3,6
498,690.481.807-75,train,5904.09,642.54,0,1
499,021.592.420-71,train,13868.0,1902.7,9,9
500,817.858.094-23,train,6539.5,314.18,6,4
501,776.913.674-14,train,3317.87,56.11,3,0
502,171.160.720-71,train,578.09,71.59,0,1
503,604.086.569-56,train,1005.24,112.6,0,2
504,133.322.578-46,train,17709.62,1139.02,9,9
505,656.301.839-40,train,9286.0,938.32,8,9
506,133.322.578-46,train,2241.7,157.6,1,2
507,458.581.303-99,train,1415.93,112.91,1,1
508,169.056.583-75,train,3149.54,105.31,2,1
509,565.473.763-54,train,6146.99,263.26,6,4
510,742.473.455-59,train,6785.05,377.59,7,6
511,146.486.626-01,train,8272.0,58.88,7,0
512,909.835.951-51,train,4821.58,666.82,5,8
513,258.609.527-83,train,2949.53,34.07,3,0
514,240.541.589-51,train,31200.99,1525.31,9,9
515,460.582.237-25,train,6085.93,182.83,5,3
516,349.845.737-32,train,2563.42,117.74,2,2
517,178.536.883-42,train,2468.86,159.78,2,3
518,804.553.392-79,train,4382.66,249.58,4,4
519,769.239.939-54,train,1933.74,52.11,1,0
520,419.845.229-65,train,2830.21,331.67,3,5
521,479.533.859-02,train,882.39,104.31,0,1
522,307.258.826-03,train,1565.63,50.89,1,0
523,182.624.440-94,train,3046.36,147.64,3,2
524,431.103.870-42,train,5106.91,395.69,5,6
525,202.859.808-58,train,3459.54,167.86,3,3
526,070.375.169-70,train,2947.45,159.26,3,2
527,576.369.487-29,train,11514.72,470.78,9,7
528,076.943.007-44,train,4444.47,608.9,4,7
529,655.505.388-73,train,6262.62,436.58,6,6
530,921.514.489-75,train,18486.11,683.05,2,1
531,121.950.932-93,train,2245.0,137.63,2,2
532,106.291.463-57,train,6033.64,136.61,6,2
533,251.011.066-74,train,2001.53,192.55,2,3
534,975.299.001-02,train,2592.7,110.26,2,2
535,638.788.722-40,train,3265.04,161.88,3,2
536,534.694.743-46,train,16486.39,867.65,9,8
537,158.330.144-50,train,10236.02,669.9,8,7
538,862.092.931-31,train,2923.21,118.28,2,1
539,084.897.200-70,train,8656.8,177.12,7,2
540,465.255.251-36,train,3703.04,331.62,4,5
541,666.172.706-30,train,7665.02,282.46,7,5
542,194.994.512-00,train,4526.64,566.31,4,7
543,862.092.931-31,train,5906.92,142.44,6,2
544,791.801.879-60,train,15804.06,489.74,9,6
545,363.398.842-45,train,4267.24,390.8,4,5
546,004.443.101-50,train,638.62,14.3,0,0
547,764.682.982-02,train,20525.42,1881.07,9,9
548,619.688.965-62,train,58156.49,2562.51,6,5
549,477.962.448-78,train,2968.47,450.57,3,7
550,157.126.938-01,train,9589.02,596.18,8,7
551,157.126.938-01,train,3826.27,332.39,3,5
552,826.464.862-27,train,2276.24,283.56,2,4
553,175.138.459-48,train,12019.72,557.44,1,1
