evento_id,entidade_id,data_evento,categoria,marca,fabricante,produto,quantidade,valor,desconto,pagamento,canal,uf,sexo,data_nascimento
60,499.507.793-67,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0101,7,2682.04,254.18,Cartão,Online,PR,M,1980-11-08
61,569.928.916-00,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0105,5,7752.76,404.94,Boleto,Online,BA,M,1974-01-20
62,778.980.386-73,2023-07-29,Sementes,CampoForte,Empresa A,P0010,3,1932.45,54.12,Boleto,Online,PR,F,1984-11-02
63,686.277.737-85,2023-07-29,Defensivos,AgroMax,Empresa B,P0078,2,2111.36,66.1,PIX,Loja,MG,F,1957-09-15
64,465.255.251-36,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0115,2,2055.98,191.32,Boleto,Online,PR,F,1985-10-18
65,295.372.759-06,2023-07-29,Sementes,AgriPlus,Empresa C,P0019,9,18975.98,1267.09,Boleto,Online,PR,F,1975-11-18
66,365.936.626-90,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0115,4,3543.62,127.62,Boleto,Online,MG,F,1973-04-29
67,501.893.051-93,2023-07-29,Sementes,CampoForte,Empresa A,P0003,9,8565.85,427.67,PIX,Representante,MG,F,1984-06-22
68,847.072.566-19,2023-07-29,Sementes,VerdeTech,Empresa C,P0047,7,9765.63,631.68,Cartão,Online,MT,M,2001-03-21
69,507.313.332-33,2023-07-29,Máquinas,AgroMax,Empresa A,P0171,2,13492.31,1090.83,Boleto,Loja,MG,M,2004-12-13
70,862.092.931-31,2023-07-29,Sementes,VerdeTech,Empresa B,P0030,6,6874.13,943.99,Boleto,Online,GO,M,1996-05-07
71,486.979.104-80,2023-07-29,Defensivos,CampoForte,Empresa C,P0062,3,2067.37,117.77,Cartão,Loja,PR,F,2005-10-15
72,251.502.524-25,2023-07-29,Sementes,AgroMax,Empresa C,P0019,3,2286.91,84.35,PIX,Representante,RS,M,1964-03-08
73,862.092.931-31,2023-07-29,Sementes,VerdeTech,Empresa A,P0051,7,16692.98,895.22,Cartão,Representante,GO,M,1996-05-07
74,378.619.679-64,2023-07-29,Defensivos,CampoForte,Empresa C,P0090,5,6826.56,590.69,Boleto,Online,BA,F,1994-06-11
75,023.777.435-60,2023-07-29,Fertilizantes,AgroMax,Empresa A,P0140,8,7374.9,780.38,Boleto,Loja,RS,F,1963-02-08
76,807.152.648-77,2023-07-29,Fertilizantes,CampoForte,Empresa A,P0107,4,5639.17,454.55,Cartão,Online,PR,M,1967-07-24
77,455.140.475-63,2023-07-29,Fertilizantes,CampoForte,Empresa C,P0101,7,3888.65,272.99,Boleto,Representante,PR,M,1972-05-28
78,043.393.215-59,2023-07-29,Fertilizantes,AgriPlus,Empresa A,P0128,2,1575.36,110.42,Cartão,Loja,RS,F,2002-01-04
79,706.472.720-08,2023-07-29,Defensivos,CampoForte,Empresa B,P0091,3,3804.84,619.71,Boleto,Loja,PR,F,1946-08-20
80,665.049.404-60,2023-07-29,Fertilizantes,AgriPlus,Empresa A,P0103,5,6328.15,639.2,PIX,Online,BA,F,1955-11-03
81,087.932.495-35,2023-07-29,Fertilizantes,AgriPlus,Empresa A,P0128,8,7168.74,276.86,Boleto,Representante,PR,F,1965-05-06
82,367.464.624-20,2023-07-29,Sementes,AgriPlus,Empresa B,P0058,3,4535.45,380.26,Cartão,Representante,BA,M,1955-01-27
83,133.509.443-10,2023-07-29,Máquinas,AgriPlus,Empresa B,P0177,10,264356.58,29732.02,PIX,Loja,MG,M,1980-11-05
84,417.181.639-40,2023-07-29,Defensivos,AgriPlus,Empresa B,P0070,7,7418.37,205.12,Cartão,Online,MG,F,1963-12-20
85,139.744.223-90,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0130,2,3471.66,186.02,Boleto,Online,MG,F,1947-10-21
86,729.524.182-50,2023-07-29,Fertilizantes,CampoForte,Empresa B,P0111,2,2734.12,217.1,PIX,Loja,PR,F,1973-10-10
87,102.567.758-77,2023-07-29,Defensivos,VerdeTech,Empresa A,P0084,1,1041.86,60.43,PIX,Online,MT,F,1961-09-02
88,803.863.816-66,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0103,4,3007.26,87.62,Cartão,Online,PR,F,1978-09-21
89,826.102.522-50,2023-07-29,Sementes,VerdeTech,Empresa C,P0006,6,3628.83,266.13,PIX,Representante,PR,M,1998-07-03
90,493.714.856-71,2023-07-29,Defensivos,AgriPlus,Empresa C,P0078,5,6094.35,392.95,Boleto,Representante,PR,F,1984-09-24
91,493.714.856-71,2023-07-29,Sementes,AgroMax,Empresa B,P0001,4,6214.67,95.73,Cartão,Representante,PR,F,1984-09-24
92,131.634.089-90,2023-07-29,Sementes,AgroMax,Empresa A,P0042,4,3597.96,46.36,PIX,Online,RS,M,1973-10-05
93,615.056.177-15,2023-07-29,Fertilizantes,VerdeTech,Empresa A,P0120,8,10317.0,588.04,Cartão,Representante,PR,F,1989-07-28
94,698.755.611-34,2023-07-29,Fertilizantes,AgroMax,Empresa B,P0128,3,2237.84,228.79,Cartão,Representante,RS,M,1958-04-23
95,596.991.678-15,2023-07-29,Sementes,AgroMax,Empresa A,P0001,5,5078.73,628.32,PIX,Representante,MT,M,1968-03-24
96,098.519.025-60,2023-07-29,Fertilizantes,AgriPlus,Empresa B,P0123,8,15245.46,2328.06,Cartão,Loja,PR,F,2005-05-27
97,069.456.702-79,2023-07-29,Fertilizantes,CampoForte,Empresa C,P0126,9,17360.35,807.32,Cartão,Online,PR,F,1948-01-21
98,164.080.868-02,2023-07-29,Máquinas,CampoForte,Empresa A,P0167,7,39549.32,4418.45,Cartão,Loja,PR,F,1985-01-03
99,387.887.717-09,2023-07-29,Fertilizantes,AgroMax,Empresa C,P0131,7,8718.01,510.65,PIX,Online,GO,F,1949-07-27
100,427.975.592-23,2023-07-29,Fertilizantes,VerdeTech,Empresa C,P0131,6,2575.35,88.41,PIX,Online,GO,M,1951-07-06
101,847.072.566-19,2023-07-29,Fertilizantes,AgriPlus,Empresa A,P0104,2,1886.85,138.05,PIX,Loja,MT,M,2001-03-21
102,309.107.101-47,2023-07-29,Sementes,VerdeTech,Empresa B,P0012,8,7627.85,287.91,Cartão,Online,MT,M,1982-10-17
103,023.777.435-60,2023-07-29,Fertilizantes,AgriPlus,Empresa A,P0140,4,3910.07,248.09,Boleto,Online,RS,F,1963-02-08
104,123.597.830-33,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0126,2,2756.2,246.7,PIX,Online,MG,F,2002-02-26
105,305.338.675-50,2023-07-29,Sementes,CampoForte,Empresa C,P0056,5,7494.44,589.26,Cartão,Online,MT,F,1961-02-12
106,395.958.768-60,2023-07-29,Defensivos,AgroMax,Empresa B,P0091,8,10583.13,1537.19,PIX,Representante,PR,F,1967-02-18
107,428.534.738-56,2023-07-29,Máquinas,AgroMax,Empresa B,P0160,3,20046.71,2627.65,PIX,Representante,PR,M,1960-08-31
108,504.465.573-23,2023-07-29,Sementes,VerdeTech,Empresa B,P0041,6,1999.48,78.26,PIX,Online,PR,F,1976-03-11
109,589.211.654-95,2023-07-29,Defensivos,VerdeTech,Empresa A,P0068,6,2685.74,119.2,Cartão,Loja,PR,M,1948-09-23
110,793.301.407-00,2023-07-29,Máquinas,AgroMax,Empresa C,P0142,4,17409.81,1124.75,Boleto,Online,PR,F,1968-04-08
111,243.782.394-85,2023-07-29,Fertilizantes,CampoForte,Empresa B,P0105,5,2324.54,292.46,PIX,Loja,PR,M,1950-06-17
112,666.874.255-60,2023-07-29,Máquinas,VerdeTech,Empresa B,P0147,2,8266.88,508.5,Cartão,Online,PR,M,1989-02-24
113,666.874.255-60,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0140,7,6360.36,880.16,Cartão,Online,PR,M,1989-02-24
114,493.046.387-47,2023-07-29,Máquinas,AgriPlus,Empresa A,P0142,9,169438.98,15647.1,PIX,Loja,MG,M,1973-03-24
115,467.120.575-07,2023-07-29,Fertilizantes,AgroMax,Empresa A,P0120,2,1199.31,193.85,PIX,Online,GO,M,1987-06-29
116,090.579.291-20,2023-07-29,Defensivos,CampoForte,Empresa B,P0096,5,11642.34,672.96,Cartão,Loja,PR,F,2006-04-03
117,624.375.015-92,2023-07-29,Máquinas,VerdeTech,Empresa B,P0177,9,48018.12,1682.22,Cartão,Online,PR,F,2003-10-29
118,939.132.963-28,2023-07-29,Defensivos,AgroMax,Empresa B,P0100,6,22508.7,972.36,Boleto,Loja,MT,F,1955-12-31
119,683.972.155-81,2023-07-29,Defensivos,AgriPlus,Empresa B,P0081,4,2020.8,182.56,Boleto,Loja,PR,F,1948-08-29
120,286.421.698-18,2023-07-29,Máquinas,AgroMax,Empresa A,P0166,4,21931.59,1747.85,Boleto,Online,PR,M,1979-03-02
121,576.369.487-29,2023-07-29,Defensivos,VerdeTech,Empresa C,P0094,3,1287.79,46.88,PIX,Representante,PR,F,1965-04-02
122,152.524.279-25,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0129,8,21789.04,1598.24,Boleto,Representante,BA,F,1947-07-23
123,107.073.293-10,2023-07-29,Defensivos,CampoForte,Empresa C,P0061,2,1198.93,170.51,Boleto,Online,BA,F,1986-05-10
124,310.555.271-50,2023-07-29,Defensivos,AgroMax,Empresa A,P0071,1,1190.54,114.96,Boleto,Online,GO,F,2007-11-05
125,070.337.859-76,2023-07-29,Defensivos,VerdeTech,Empresa C,P0066,1,810.76,61.05,Cartão,Loja,GO,F,1985-04-04
126,249.868.535-97,2023-07-29,Defensivos,VerdeTech,Empresa A,P0065,9,11951.54,458.38,PIX,Online,RS,M,1955-02-13
127,538.700.196-97,2023-07-29,Sementes,AgriPlus,Empresa B,P0012,8,9848.65,642.47,Boleto,Loja,PR,M,1974-04-11
128,612.227.191-85,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0125,7,16174.28,2130.51,Boleto,Representante,PR,F,1986-11-12
129,079.923.286-63,2023-07-29,Defensivos,AgroMax,Empresa A,P0066,8,2907.03,186.81,Cartão,Online,MG,F,1985-08-17
130,909.976.126-06,2023-07-29,Defensivos,AgroMax,Empresa B,P0084,3,4071.56,274.75,Cartão,Representante,PR,F,1991-09-02
131,115.657.493-59,2023-07-29,Defensivos,VerdeTech,Empresa B,P0073,10,3446.37,428.23,Boleto,Loja,BA,M,1957-02-07
132,281.445.317-36,2023-07-29,Máquinas,AgriPlus,Empresa C,P0175,10,197571.21,3283.49,Cartão,Representante,GO,F,1987-05-31
133,128.103.743-50,2023-07-29,Defensivos,AgroMax,Empresa C,P0088,9,5284.12,242.33,Cartão,Online,BA,M,1980-11-29
134,153.587.965-33,2023-07-29,Defensivos,CampoForte,Empresa A,P0077,9,6453.43,533.09,Cartão,Online,MG,M,1951-02-21
135,762.276.937-15,2023-07-29,Máquinas,AgroMax,Empresa C,P0178,4,39723.81,3434.15,PIX,Representante,PR,F,1995-03-30
136,293.781.629-08,2023-07-29,Defensivos,AgroMax,Empresa C,P0067,3,2161.55,238.33,PIX,Loja,RS,F,1966-05-22
137,520.212.619-05,2023-07-29,Sementes,AgriPlus,Empresa B,P0007,4,5511.27,99.21,PIX,Online,GO,F,1951-11-23
138,669.846.941-67,2023-07-29,Sementes,AgriPlus,Empresa B,P0028,10,4637.36,106.84,Cartão,Loja,PR,M,1983-03-31
139,402.660.242-70,2023-07-29,Defensivos,AgriPlus,Empresa B,P0090,6,2570.39,196.39,Cartão,Representante,PR,F,1949-11-04
140,669.846.941-67,2023-07-29,Defensivos,CampoForte,Empresa A,P0093,10,8322.47,444.83,Cartão,Online,PR,M,1983-03-31
141,876.143.285-74,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0111,10,8273.14,1325.86,Cartão,Online,BA,F,2000-05-08
142,642.233.786-86,2023-07-29,Máquinas,VerdeTech,Empresa A,P0145,10,141471.55,7339.95,Boleto,Representante,MG,F,2000-03-29
143,141.148.154-22,2023-07-29,Defensivos,AgriPlus,Empresa C,P0088,2,2643.08,197.16,Boleto,Online,PR,F,1951-01-31
144,929.748.918-45,2023-07-29,Defensivos,AgroMax,Empresa B,P0077,5,7641.4,639.5,PIX,Loja,PR,M,1970-11-15
145,622.879.020-07,2023-07-29,Defensivos,AgroMax,Empresa A,P0068,6,6709.01,310.39,Boleto,Loja,BA,F,1976-01-01
146,351.972.936-91,2023-07-29,Defensivos,VerdeTech,Empresa A,P0062,7,4867.83,480.94,PIX,Loja,MG,M,1958-08-01
147,191.992.798-00,2023-07-29,Defensivos,VerdeTech,Empresa B,P0061,5,5968.81,131.04,PIX,Online,MT,F,1989-11-08
148,612.227.191-85,2023-07-29,Fertilizantes,AgroMax,Empresa A,P0119,4,2141.33,294.35,Boleto,Loja,PR,F,1986-11-12
149,718.896.983-34,2023-07-29,Fertilizantes,CampoForte,Empresa B,P0122,5,2019.95,164.3,PIX,Loja,PR,F,1973-03-09
150,109.498.462-01,2023-07-29,Sementes,CampoForte,Empresa A,P0030,7,3860.74,149.28,Cartão,Loja,PR,M,1960-02-14
151,915.567.696-01,2023-07-29,Máquinas,AgriPlus,Empresa C,P0148,2,10144.37,777.23,Boleto,Online,RS,M,1953-09-22
152,048.094.477-66,2023-07-29,Defensivos,VerdeTech,Empresa B,P0082,3,4162.01,219.79,Cartão,Representante,PR,F,1975-11-25
153,084.113.701-35,2023-07-29,Máquinas,VerdeTech,Empresa C,P0149,6,38386.78,742.52,Boleto,Loja,BA,F,1981-05-07
154,863.344.523-98,2023-07-29,Fertilizantes,AgriPlus,Empresa B,P0113,5,2300.66,366.39,Cartão,Online,MG,F,1948-05-05
155,829.485.613-45,2023-07-29,Defensivos,CampoForte,Empresa A,P0069,3,2282.38,212.39,Boleto,Representante,MT,M,1991-05-15
156,131.357.955-60,2023-07-29,Defensivos,AgroMax,Empresa B,P0070,4,2675.95,186.45,Boleto,Online,BA,F,1951-02-18
157,695.066.670-55,2023-07-29,Fertilizantes,VerdeTech,Empresa B,P0127,6,10070.55,385.23,Boleto,Representante,MG,M,1991-06-01
158,126.381.049-73,2023-07-29,Máquinas,AgroMax,Empresa A,P0167,9,225461.2,12615.17,Cartão,Online,PR,F,1949-10-07
159,367.779.201-02,2023-07-29,Sementes,CampoForte,Empresa B,P0009,6,6659.38,859.04,PIX,Loja,PR,M,1948-10-01
160,414.362.295-53,2023-07-29,Fertilizantes,AgroMax,Empresa B,P0122,10,5572.48,274.52,Boleto,Representante,BA,M,1955-06-05
161,669.313.079-83,2023-07-29,Sementes,CampoForte,Empresa A,P0033,7,4634.12,441.86,Boleto,Loja,MT,F,1958-02-22
162,765.278.407-72,2023-07-29,Sementes,AgriPlus,Empresa B,P0037,3,2232.0,166.62,Boleto,Representante,PR,M,2007-09-09
163,732.530.367-07,2023-07-29,Máquinas,AgroMax,Empresa B,P0147,1,8673.74,437.99,Boleto,Online,GO,M,1963-08-13
164,713.576.900-70,2023-07-29,Máquinas,CampoForte,Empresa C,P0174,6,49536.85,3771.35,PIX,Representante,PR,F,1995-02-09
165,118.719.109-43,2023-07-29,Fertilizantes,CampoForte,Empresa C,P0108,1,936.12,118.22,Boleto,Online,PR,F,1960-05-26
166,939.079.199-55,2023-07-29,Sementes,AgroMax,Empresa B,P0009,8,8675.97,1204.27,PIX,Representante,GO,M,2000-01-29
167,909.834.288-40,2023-07-29,Defensivos,AgriPlus,Empresa C,P0087,6,10167.36,1404.84,Boleto,Online,MT,F,1995-01-30
168,816.079.610-24,2023-07-29,Sementes,VerdeTech,Empresa B,P0052,2,2728.34,169.86,PIX,Loja,BA,M,1987-02-01
169,587.174.335-84,2023-07-29,Sementes,AgroMax,Empresa A,P0056,7,5835.36,232.66,Boleto,Online,MT,M,1956-03-06
170,295.406.012-31,2023-07-29,Máquinas,VerdeTech,Empresa A,P0159,10,16415.88,632.52,PIX,Loja,PR,F,1979-09-20
171,646.215.428-42,2023-07-29,Máquinas,VerdeTech,Empresa A,P0143,10,56923.5,5030.4,PIX,Representante,RS,F,1980-07-26
172,928.645.003-61,2023-07-29,Fertilizantes,VerdeTech,Empresa A,P0121,10,28003.03,1730.77,PIX,Loja,PR,M,1971-02-25
173,481.530.410-61,2023-07-29,Fertilizantes,AgriPlus,Empresa C,P0135,6,7182.87,406.83,Cartão,Online,PR,F,1959-09-01
174,353.461.799-17,2023-07-29,Fertilizantes,AgroMax,Empresa B,P0138,9,4304.41,333.74,Cartão,Online,BA,M,1957-04-02
175,914.970.921-67,2023-07-29,Máquinas,VerdeTech,Empresa B,P0143,9,73144.5,10919.01,PIX,Representante,PR,F,1955-03-31
176,258.178.064-95,2023-07-29,Defensivos,CampoForte,Empresa A,P0074,5,6022.36,616.09,Cartão,Loja,PR,M,1986-02-14
177,833.371.420-01,2023-07-29,Defensivos,AgriPlus,Empresa C,P0061,6,7776.89,879.19,Cartão,Online,MT,F,1995-04-08
178,706.626.487-81,2023-07-29,Fertilizantes,AgriPlus,Empresa B,P0135,8,3921.52,214.64,PIX,Online,RS,F,1991-09-06
179,345.783.804-67,2023-07-29,Sementes,CampoForte,Empresa B,P0008,1,1334.9,60.5,Boleto,Online,MT,F,1988-12-09
180,907.689.836-73,2023-07-29,Defensivos,VerdeTech,Empresa B,P0091,4,3299.92,263.92,PIX,Online,BA,M,1956-09-03
181,451.865.654-74,2023-07-29,Defensivos,CampoForte,Empresa B,P0061,9,6575.0,491.62,PIX,Loja,BA,F,1957-10-18
182,410.663.545-37,2023-07-29,Sementes,AgriPlus,Empresa A,P0054,7,31284.22,1838.38,PIX,Online,GO,M,1973-07-12
183,349.845.737-32,2023-07-29,Defensivos,AgroMax,Empresa A,P0083,2,788.67,86.93,PIX,Loja,GO,F,1987-09-17
184,932.656.892-04,2023-07-29,Defensivos,AgroMax,Empresa A,P0072,1,454.33,32.3,Cartão,Loja,PR,F,1973-01-17
185,703.276.511-48,2023-07-29,Fertilizantes,VerdeTech,Empresa C,P0109,1,816.85,43.24,Boleto,Online,MG,F,1978-10-23
186,075.051.789-11,2023-07-29,Defensivos,CampoForte,Empresa C,P0077,6,5509.54,771.08,PIX,Online,BA,F,1957-08-09
187,245.964.820-04,2023-07-29,Defensivos,VerdeTech,Empresa B,P0098,8,10799.4,323.56,Cartão,Representante,PR,M,1978-09-22
188,078.823.231-28,2023-07-29,Máquinas,CampoForte,Empresa B,P0162,6,25472.34,1220.58,Cartão,Representante,GO,F,1947-07-16
189,309.827.371-22,2023-07-29,Máquinas,CampoForte,Empresa A,P0157,9,44097.78,5631.9,Cartão,Representante,RS,F,1968-02-05
190,953.090.666-83,2023-07-29,Defensivos,AgroMax,Empresa B,P0081,10,24271.9,2062.0,PIX,Representante,PR,M,1996-04-21
191,342.400.072-83,2023-07-29,Máquinas,AgriPlus,Empresa C,P0172,2,21670.17,1093.07,Cartão,Loja,BA,F,1974-02-26
192,075.576.753-55,2023-07-29,Máquinas,AgroMax,Empresa C,P0148,6,31370.53,1196.69,Cartão,Loja,PR,F,2004-11-29
193,837.506.828-44,2023-07-29,Defensivos,VerdeTech,Empresa C,P0066,10,2939.35,338.75,Boleto,Online,MG,F,1971-05-24
