transacao_id,cpf,data_compra,split,churn_label,proxima_categoria,proximo_valor_bucket
86878,000.796.873-69,2026-03-21,test,1.0,,
17120,000.797.027-75,2024-01-19,train,1.0,Defensivos,6.0
30812,000.797.027-75,2024-06-22,train,1.0,Sementes,8.0
47437,000.797.027-75,2024-12-27,train,1.0,Máquinas,3.0
66899,000.797.027-75,2025-08-07,train,0.0,Sementes,9.0
71568,000.797.027-75,2025-09-29,train,0.0,Sementes,5.0
75601,000.797.027-75,2025-11-13,val,0.0,Fertilizantes,8.0
78705,000.797.027-75,2025-12-18,val,0.0,Máquinas,2.0
88277,000.797.027-75,2026-04-05,test,0.0,Sementes,0.0
97363,000.797.027-75,2026-07-09,test,0.0,Sementes,6.0
99131,000.797.027-75,2026-07-23,test,,,
31993,000.803.736-15,2024-07-05,train,1.0,Sementes,1.0
53696,000.803.736-15,2025-03-08,train,1.0,Sementes,9.0
77486,000.803.736-15,2025-12-04,val,1.0,Defensivos,6.0
88885,000.803.736-15,2026-04-12,test,0.0,Sementes,4.0
93127,000.803.736-15,2026-05-28,test,,,
38929,000.844.292-40,2024-09-21,train,1.0,Defensivos,7.0
86167,000.844.292-40,2026-03-13,test,0.0,Máquinas,5.0
86280,000.844.292-40,2026-03-14,test,1.0,,
26836,000.878.770-07,2024-05-09,train,1.0,Fertilizantes,9.0
68951,000.878.770-07,2025-08-30,train,1.0,,
3336,000.887.953-22,2023-08-23,train,1.0,Máquinas,5.0
52540,000.887.953-22,2025-02-23,train,0.0,Fertilizantes,0.0
53769,000.887.953-22,2025-03-08,train,1.0,Máquinas,8.0
74790,000.887.953-22,2025-11-05,val,1.0,Fertilizantes,4.0
87988,000.887.953-22,2026-04-02,test,0.0,Fertilizantes,3.0
97130,000.887.953-22,2026-07-07,test,,,
95332,000.891.866-05,2026-06-19,test,,,
7988,000.965.838-60,2023-10-10,train,1.0,Fertilizantes,9.0
84944,000.965.838-60,2026-02-26,test,1.0,,
11802,000.982.953-90,2023-11-21,train,1.0,Defensivos,2.0
32802,000.982.953-90,2024-07-14,train,1.0,Defensivos,5.0
67554,000.982.953-90,2025-08-14,train,0.0,Defensivos,9.0
74643,000.982.953-90,2025-11-03,val,1.0,Defensivos,4.0
86180,000.982.953-90,2026-03-13,test,0.0,Máquinas,3.0
87532,000.982.953-90,2026-03-28,test,0.0,Defensivos,5.0
88645,000.982.953-90,2026-04-09,test,,,
4558,001.055.608-71,2023-09-04,train,1.0,,
694,001.162.228-83,2023-08-01,train,0.0,Fertilizantes,6.0
5818,001.162.228-83,2023-09-17,train,0.0,Sementes,2.0
8119,001.162.228-83,2023-10-11,train,0.0,Defensivos,9.0
8211,001.162.228-83,2023-10-12,train,0.0,Defensivos,6.0
8398,001.162.228-83,2023-10-14,train,0.0,Defensivos,9.0
16353,001.162.228-83,2024-01-10,train,0.0,Defensivos,5.0
22064,001.162.228-83,2024-03-15,train,0.0,Defensivos,6.0
24025,001.162.228-83,2024-04-07,train,0.0,Fertilizantes,2.0
29292,001.162.228-83,2024-06-05,train,0.0,Defensivos,4.0
38039,001.162.228-83,2024-09-11,train,0.0,Fertilizantes,4.0
40395,001.162.228-83,2024-10-08,train,0.0,Sementes,5.0
42110,001.162.228-83,2024-10-27,train,0.0,Defensivos,5.0
42828,001.162.228-83,2024-11-04,train,0.0,Defensivos,3.0
42963,001.162.228-83,2024-11-06,train,0.0,Sementes,8.0
43634,001.162.228-83,2024-11-14,train,0.0,Defensivos,9.0
52596,001.162.228-83,2025-02-23,train,0.0,Defensivos,3.0
55218,001.162.228-83,2025-03-24,train,0.0,Sementes,4.0
64954,001.162.228-83,2025-07-16,train,0.0,Defensivos,0.0
70959,001.162.228-83,2025-09-22,train,0.0,Sementes,5.0
72007,001.162.228-83,2025-10-04,train,0.0,Máquinas,6.0
72251,001.162.228-83,2025-10-07,train,0.0,Defensivos,3.0
78353,001.162.228-83,2025-12-14,val,0.0,Defensivos,5.0
85363,001.162.228-83,2026-03-03,test,0.0,Defensivos,6.0
93818,001.162.228-83,2026-06-04,test,0.0,Fertilizantes,6.0
95762,001.162.228-83,2026-06-24,test,0.0,Defensivos,0.0
99736,001.162.228-83,2026-07-27,test,,,
1476,001.172.314-95,2023-08-06,train,1.0,Sementes,0.0
75446,001.172.314-95,2025-11-12,val,0.0,Sementes,3.0
85593,001.172.314-95,2026-03-06,test,0.0,Fertilizantes,0.0
88754,001.172.314-95,2026-04-10,test,,,
38848,001.233.245-30,2024-09-20,train,1.0,,
14137,001.331.050-08,2023-12-16,train,1.0,Fertilizantes,1.0
27573,001.331.050-08,2024-05-17,train,0.0,Defensivos,1.0
28652,001.331.050-08,2024-05-29,train,0.0,Defensivos,1.0
37265,001.331.050-08,2024-09-02,train,0.0,Fertilizantes,8.0
39272,001.331.050-08,2024-09-25,train,0.0,Defensivos,7.0
47465,001.331.050-08,2024-12-27,train,0.0,Fertilizantes,2.0
47852,001.331.050-08,2024-12-31,train,0.0,Fertilizantes,9.0
57634,001.331.050-08,2025-04-21,train,0.0,Fertilizantes,4.0
61642,001.331.050-08,2025-06-07,train,0.0,Fertilizantes,3.0
63132,001.331.050-08,2025-06-25,train,0.0,Fertilizantes,9.0
64521,001.331.050-08,2025-07-11,train,0.0,Fertilizantes,0.0
69763,001.331.050-08,2025-09-09,train,0.0,Fertilizantes,5.0
78916,001.331.050-08,2025-12-20,val,0.0,Defensivos,9.0
80210,001.331.050-08,2026-01-04,val,0.0,Máquinas,3.0
88117,001.331.050-08,2026-04-03,test,,,
12461,001.338.012-50,2023-11-28,train,1.0,Sementes,8.0
27070,001.338.012-50,2024-05-12,train,1.0,Máquinas,3.0
47797,001.338.012-50,2024-12-31,train,0.0,Máquinas,2.0
56419,001.338.012-50,2025-04-07,train,1.0,Máquinas,9.0
99008,001.338.012-50,2026-07-22,test,,,
17933,001.365.753-40,2024-01-28,train,1.0,Defensivos,3.0
39902,001.365.753-40,2024-10-02,train,1.0,Defensivos,6.0
52533,001.365.753-40,2025-02-23,train,0.0,Defensivos,7.0
53661,001.365.753-40,2025-03-07,train,0.0,Sementes,4.0
54104,001.365.753-40,2025-03-12,train,0.0,Defensivos,7.0
62094,001.365.753-40,2025-06-13,train,1.0,Defensivos,8.0
75371,001.365.753-40,2025-11-11,val,0.0,Defensivos,5.0
84896,001.365.753-40,2026-02-26,test,0.0,Defensivos,4.0
94613,001.365.753-40,2026-06-12,test,,,
4974,001.385.631-60,2023-09-08,train,1.0,Fertilizantes,7.0
28801,001.385.631-60,2024-05-30,train,1.0,,
7449,001.509.218-61,2023-10-04,train,1.0,Sementes,3.0
42269,001.509.218-61,2024-10-29,train,0.0,Fertilizantes,6.0
42967,001.509.218-61,2024-11-06,train,1.0,,
59346,001.610.645-82,2025-05-12,train,1.0,,
2356,001.736.067-68,2023-08-14,train,1.0,Máquinas,2.0
17680,001.736.067-68,2024-01-25,train,0.0,Defensivos,3.0
18455,001.736.067-68,2024-02-03,train,1.0,Defensivos,8.0
34017,001.736.067-68,2024-07-28,train,0.0,Sementes,3.0
34018,001.736.067-68,2024-07-28,train,0.0,Máquinas,6.0
43706,001.736.067-68,2024-11-15,train,1.0,Defensivos,9.0
94264,001.736.067-68,2026-06-09,test,0.0,Defensivos,7.0
98245,001.736.067-68,2026-07-16,test,,,
39761,001.763.302-83,2024-09-30,train,1.0,Sementes,2.0
68601,001.763.302-83,2025-08-26,train,1.0,,
75488,001.977.526-16,2025-11-12,val,1.0,,
3714,002.175.977-42,2023-08-27,train,0.0,Sementes,9.0
9709,002.175.977-42,2023-10-29,train,0.0,Máquinas,8.0
11282,002.175.977-42,2023-11-15,train,0.0,Máquinas,2.0
12871,002.175.977-42,2023-12-02,train,0.0,Sementes,1.0
14402,002.175.977-42,2023-12-19,train,0.0,Defensivos,5.0
15480,002.175.977-42,2023-12-31,train,0.0,Sementes,2.0
24139,002.175.977-42,2024-04-08,train,0.0,Sementes,1.0
31290,002.175.977-42,2024-06-27,train,0.0,Fertilizantes,0.0
34735,002.175.977-42,2024-08-05,train,0.0,Máquinas,0.0
45396,002.175.977-42,2024-12-04,train,0.0,Sementes,6.0
55661,002.175.977-42,2025-03-29,train,0.0,Máquinas,0.0
55663,002.175.977-42,2025-03-29,train,0.0,Sementes,6.0
62880,002.175.977-42,2025-06-22,train,0.0,Fertilizantes,4.0
65977,002.175.977-42,2025-07-28,train,1.0,Sementes,8.0
77340,002.175.977-42,2025-12-03,val,0.0,Fertilizantes,8.0
78586,002.175.977-42,2025-12-16,val,0.0,Sementes,8.0
82356,002.175.977-42,2026-01-27,val,0.0,Sementes,3.0
82382,002.175.977-42,2026-01-28,val,0.0,Sementes,6.0
83504,002.175.977-42,2026-02-10,test,0.0,Defensivos,5.0
84013,002.175.977-42,2026-02-16,test,0.0,Sementes,9.0
84172,002.175.977-42,2026-02-18,test,0.0,Máquinas,3.0
84733,002.175.977-42,2026-02-24,test,0.0,Sementes,7.0
84734,002.175.977-42,2026-02-24,test,0.0,Máquinas,3.0
86963,002.175.977-42,2026-03-22,test,0.0,Defensivos,8.0
86965,002.175.977-42,2026-03-22,test,0.0,Sementes,7.0
88064,002.175.977-42,2026-04-03,test,,,
13529,002.219.609-96,2023-12-10,train,0.0,Fertilizantes,2.0
17283,002.219.609-96,2024-01-21,train,1.0,Defensivos,4.0
51066,002.219.609-96,2025-02-06,train,0.0,Máquinas,7.0
54670,002.219.609-96,2025-03-19,train,0.0,Defensivos,0.0
55655,002.219.609-96,2025-03-29,train,1.0,Máquinas,4.0
82031,002.219.609-96,2026-01-24,val,1.0,,
55290,002.275.959-04,2025-03-25,train,1.0,,
7854,002.277.686-98,2023-10-09,train,0.0,Sementes,2.0
14301,002.277.686-98,2023-12-18,train,0.0,Sementes,4.0
15386,002.277.686-98,2023-12-30,train,0.0,Fertilizantes,8.0
24329,002.277.686-98,2024-04-10,train,0.0,Fertilizantes,8.0
27448,002.277.686-98,2024-05-16,train,0.0,Defensivos,3.0
31356,002.277.686-98,2024-06-28,train,0.0,Sementes,5.0
33677,002.277.686-98,2024-07-24,train,0.0,Sementes,6.0
37416,002.277.686-98,2024-09-04,train,1.0,Sementes,9.0
69028,002.277.686-98,2025-08-31,train,0.0,Máquinas,0.0
75662,002.277.686-98,2025-11-14,val,0.0,Defensivos,0.0
78694,002.277.686-98,2025-12-18,val,1.0,Fertilizantes,1.0
90142,002.277.686-98,2026-04-25,test,,,
53191,002.315.863-88,2025-03-02,train,0.0,Defensivos,0.0
54215,002.315.863-88,2025-03-13,train,1.0,Defensivos,5.0
72395,002.315.863-88,2025-10-09,train,1.0,,
10961,002.405.925-06,2023-11-11,train,0.0,Fertilizantes,4.0
11996,002.405.925-06,2023-11-23,train,1.0,Defensivos,3.0
25257,002.405.925-06,2024-04-21,train,0.0,Fertilizantes,2.0
25263,002.405.925-06,2024-04-21,train,0.0,Sementes,2.0
33267,002.405.925-06,2024-07-20,train,0.0,Sementes,1.0
41446,002.405.925-06,2024-10-20,train,0.0,Sementes,3.0
49663,002.405.925-06,2025-01-21,train,0.0,Máquinas,8.0
50260,002.405.925-06,2025-01-27,train,0.0,Sementes,0.0
50360,002.405.925-06,2025-01-28,train,0.0,Máquinas,4.0
50361,002.405.925-06,2025-01-28,train,0.0,Sementes,4.0
57571,002.405.925-06,2025-04-21,train,0.0,Defensivos,7.0
57950,002.405.925-06,2025-04-25,train,1.0,Máquinas,7.0
71914,002.405.925-06,2025-10-03,train,0.0,Sementes,1.0
76702,002.405.925-06,2025-11-26,val,0.0,Defensivos,6.0
78503,002.405.925-06,2025-12-16,val,0.0,Defensivos,2.0
81307,002.405.925-06,2026-01-16,val,0.0,Sementes,2.0
83548,002.405.925-06,2026-02-10,test,1.0,Sementes,9.0
95230,002.405.925-06,2026-06-18,test,0.0,Sementes,5.0
97980,002.405.925-06,2026-07-14,test,0.0,Fertilizantes,4.0
98222,002.405.925-06,2026-07-16,test,,,
245,002.501.438-28,2023-07-29,train,0.0,Defensivos,2.0
2206,002.501.438-28,2023-08-13,train,0.0,Defensivos,2.0
2376,002.501.438-28,2023-08-14,train,0.0,Defensivos,6.0
2930,002.501.438-28,2023-08-19,train,0.0,Defensivos,5.0
8146,002.501.438-28,2023-10-12,train,0.0,Defensivos,4.0
8251,002.501.438-28,2023-10-13,train,0.0,Defensivos,4.0
12236,002.501.438-28,2023-11-25,train,0.0,Defensivos,8.0
12459,002.501.438-28,2023-11-28,train,1.0,Defensivos,8.0
24155,002.501.438-28,2024-04-08,train,0.0,Defensivos,0.0
24352,002.501.438-28,2024-04-10,train,0.0,Defensivos,5.0
24414,002.501.438-28,2024-04-11,train,0.0,Defensivos,1.0
27823,002.501.438-28,2024-05-20,train,0.0,Defensivos,5.0
28781,002.501.438-28,2024-05-30,train,0.0,Máquinas,5.0
29210,002.501.438-28,2024-06-04,train,1.0,Máquinas,8.0
42865,002.501.438-28,2024-11-05,train,0.0,Defensivos,6.0
45382,002.501.438-28,2024-12-03,train,0.0,Defensivos,6.0
50779,002.501.438-28,2025-02-02,train,0.0,Fertilizantes,3.0
51701,002.501.438-28,2025-02-13,train,0.0,Defensivos,4.0
56817,002.501.438-28,2025-04-12,train,0.0,Fertilizantes,7.0
57496,002.501.438-28,2025-04-20,train,0.0,Defensivos,2.0
60238,002.501.438-28,2025-05-23,train,0.0,Defensivos,5.0
61122,002.501.438-28,2025-06-02,train,1.0,Máquinas,8.0
92731,002.501.438-28,2026-05-24,test,0.0,Defensivos,7.0
96727,002.501.438-28,2026-07-03,test,0.0,Defensivos,3.0
97203,002.501.438-28,2026-07-08,test,,,
5141,002.573.650-79,2023-09-10,train,0.0,Defensivos,4.0
13513,002.573.650-79,2023-12-09,train,0.0,Fertilizantes,6.0
18519,002.573.650-79,2024-02-04,train,1.0,Defensivos,8.0
90764,002.573.650-79,2026-05-02,test,,,
87885,002.583.153-42,2026-04-01,test,,,
47582,002.711.286-15,2024-12-28,train,0.0,Máquinas,1.0
47682,002.711.286-15,2024-12-30,train,0.0,Fertilizantes,4.0
56042,002.711.286-15,2025-04-03,train,1.0,Máquinas,8.0
74617,002.711.286-15,2025-11-03,val,1.0,,
73781,002.712.255-72,2025-10-24,train,1.0,Defensivos,9.0
90318,002.712.255-72,2026-04-27,test,,,
1262,002.847.413-96,2023-08-05,train,1.0,Fertilizantes,4.0
57551,002.847.413-96,2025-04-21,train,0.0,Fertilizantes,9.0
58316,002.847.413-96,2025-04-30,train,1.0,Fertilizantes,3.0
96165,002.847.413-96,2026-06-28,test,,,
12607,002.855.596-13,2023-11-29,train,1.0,,
1505,002.882.065-76,2023-08-07,train,0.0,Sementes,3.0
2903,002.882.065-76,2023-08-19,train,0.0,Sementes,1.0
3340,002.882.065-76,2023-08-23,train,0.0,Defensivos,7.0
5179,002.882.065-76,2023-09-10,train,0.0,Sementes,3.0
5182,002.882.065-76,2023-09-10,train,0.0,Sementes,5.0
9376,002.882.065-76,2023-10-25,train,0.0,Sementes,8.0
10584,002.882.065-76,2023-11-07,train,0.0,Máquinas,9.0
11004,002.882.065-76,2023-11-12,train,0.0,Máquinas,4.0
17019,002.882.065-76,2024-01-18,train,0.0,Sementes,3.0
18087,002.882.065-76,2024-01-30,train,0.0,Sementes,0.0
21436,002.882.065-76,2024-03-07,train,0.0,Máquinas,4.0
24182,002.882.065-76,2024-04-09,train,0.0,Fertilizantes,3.0
25825,002.882.065-76,2024-04-28,train,0.0,Sementes,2.0
27356,002.882.065-76,2024-05-15,train,0.0,Defensivos,2.0
32410,002.882.065-76,2024-07-10,train,0.0,Sementes,2.0
34313,002.882.065-76,2024-07-31,train,0.0,Sementes,6.0
38319,002.882.065-76,2024-09-14,train,0.0,Sementes,5.0
41224,002.882.065-76,2024-10-17,train,0.0,Máquinas,2.0
42094,002.882.065-76,2024-10-27,train,0.0,Sementes,7.0
45771,002.882.065-76,2024-12-08,train,0.0,Máquinas,3.0
53918,002.882.065-76,2025-03-10,train,0.0,Sementes,7.0
55343,002.882.065-76,2025-03-26,train,0.0,Máquinas,2.0
57131,002.882.065-76,2025-04-16,train,0.0,Sementes,0.0
60120,002.882.065-76,2025-05-21,train,0.0,Sementes,1.0
60480,002.882.065-76,2025-05-25,train,0.0,Sementes,5.0
66018,002.882.065-76,2025-07-28,train,0.0,Defensivos,1.0
75824,002.882.065-76,2025-11-16,val,0.0,Sementes,7.0
80529,002.882.065-76,2026-01-07,val,0.0,Fertilizantes,0.0
82671,002.882.065-76,2026-01-31,test,0.0,Sementes,2.0
83482,002.882.065-76,2026-02-10,test,0.0,Sementes,9.0
83916,002.882.065-76,2026-02-15,test,0.0,Máquinas,5.0
84038,002.882.065-76,2026-02-16,test,0.0,Sementes,6.0
91403,002.882.065-76,2026-05-10,test,0.0,Sementes,3.0
91794,002.882.065-76,2026-05-14,test,0.0,Máquinas,7.0
98094,002.882.065-76,2026-07-15,test,,,
5085,003.069.550-32,2023-09-09,train,0.0,Sementes,1.0
5087,003.069.550-32,2023-09-09,train,0.0,Sementes,2.0
7847,003.069.550-32,2023-10-09,train,0.0,Sementes,5.0
11906,003.069.550-32,2023-11-22,train,0.0,Sementes,7.0
14060,003.069.550-32,2023-12-15,train,0.0,Máquinas,9.0
16273,003.069.550-32,2024-01-09,train,0.0,Fertilizantes,7.0
26031,003.069.550-32,2024-04-30,train,0.0,Sementes,2.0
27439,003.069.550-32,2024-05-16,train,0.0,Defensivos,2.0
28680,003.069.550-32,2024-05-29,train,1.0,Fertilizantes,5.0
53753,003.069.550-32,2025-03-08,train,0.0,Máquinas,7.0
53787,003.069.550-32,2025-03-08,train,0.0,Fertilizantes,6.0
58290,003.069.550-32,2025-04-29,train,0.0,Sementes,4.0
58625,003.069.550-32,2025-05-04,train,0.0,Sementes,1.0
68463,003.069.550-32,2025-08-25,train,0.0,Defensivos,8.0
77599,003.069.550-32,2025-12-06,val,0.0,Sementes,2.0
78027,003.069.550-32,2025-12-10,val,0.0,Sementes,2.0
85807,003.069.550-32,2026-03-08,test,0.0,Fertilizantes,5.0
90494,003.069.550-32,2026-04-29,test,0.0,Fertilizantes,1.0
91614,003.069.550-32,2026-05-12,test,,,
951,003.077.734-85,2023-08-02,train,0.0,Defensivos,9.0
1419,003.077.734-85,2023-08-06,train,0.0,Defensivos,2.0
2013,003.077.734-85,2023-08-11,train,0.0,Sementes,0.0
3765,003.077.734-85,2023-08-28,train,0.0,Sementes,7.0
4208,003.077.734-85,2023-09-01,train,1.0,Sementes,7.0
22007,003.077.734-85,2024-03-14,train,0.0,Fertilizantes,3.0
25547,003.077.734-85,2024-04-25,train,1.0,Sementes,4.0
42141,003.077.734-85,2024-10-28,train,0.0,Sementes,5.0
50338,003.077.734-85,2025-01-28,train,0.0,Sementes,5.0
60234,003.077.734-85,2025-05-22,train,0.0,Defensivos,0.0
61646,003.077.734-85,2025-06-08,train,0.0,Sementes,7.0
67817,003.077.734-85,2025-08-17,train,0.0,Sementes,2.0
75227,003.077.734-85,2025-11-09,val,0.0,Fertilizantes,2.0
77572,003.077.734-85,2025-12-05,val,1.0,Sementes,4.0
92244,003.077.734-85,2026-05-19,test,0.0,Máquinas,0.0
99391,003.077.734-85,2026-07-25,test,,,
44469,003.094.107-54,2024-11-23,train,1.0,,
5014,003.142.121-08,2023-09-09,train,0.0,Máquinas,8.0
11746,003.142.121-08,2023-11-20,train,0.0,Sementes,0.0
17270,003.142.121-08,2024-01-20,train,0.0,Sementes,0.0
18145,003.142.121-08,2024-01-31,train,1.0,Máquinas,8.0
52124,003.142.121-08,2025-02-18,train,1.0,Máquinas,5.0
74196,003.142.121-08,2025-10-29,train,0.0,Máquinas,3.0
75401,003.142.121-08,2025-11-11,val,0.0,Máquinas,1.0
82359,003.142.121-08,2026-01-27,val,1.0,Fertilizantes,8.0
94340,003.142.121-08,2026-06-09,test,0.0,Máquinas,7.0
97470,003.142.121-08,2026-07-10,test,0.0,Sementes,7.0
99389,003.142.121-08,2026-07-25,test,,,
73588,003.179.169-71,2025-10-22,train,1.0,,
586,003.182.692-01,2023-07-31,train,1.0,Sementes,5.0
14041,003.182.692-01,2023-12-15,train,0.0,Fertilizantes,1.0
24251,003.182.692-01,2024-04-09,train,0.0,Sementes,0.0
32483,003.182.692-01,2024-07-11,train,1.0,Máquinas,1.0
56270,003.182.692-01,2025-04-06,train,0.0,Sementes,3.0
59205,003.182.692-01,2025-05-11,train,1.0,Sementes,2.0
76361,003.182.692-01,2025-11-22,val,0.0,Sementes,5.0
76558,003.182.692-01,2025-11-24,val,0.0,Sementes,9.0
77009,003.182.692-01,2025-11-29,val,0.0,Sementes,1.0
77134,003.182.692-01,2025-11-30,val,0.0,Sementes,3.0
80482,003.182.692-01,2026-01-07,val,0.0,Sementes,3.0
81014,003.182.692-01,2026-01-13,val,0.0,Sementes,4.0
88840,003.182.692-01,2026-04-11,test,0.0,Sementes,8.0
98955,003.182.692-01,2026-07-22,test,,,
378,003.250.720-86,2023-07-30,train,0.0,Sementes,5.0
2150,003.250.720-86,2023-08-12,train,0.0,Máquinas,2.0
5492,003.250.720-86,2023-09-13,train,0.0,Máquinas,3.0
15971,003.250.720-86,2024-01-05,train,0.0,Fertilizantes,6.0
15999,003.250.720-86,2024-01-06,train,0.0,Máquinas,5.0
18198,003.250.720-86,2024-01-31,train,0.0,Máquinas,6.0
18200,003.250.720-86,2024-01-31,train,0.0,Máquinas,9.0
19018,003.250.720-86,2024-02-09,train,0.0,Máquinas,8.0
20626,003.250.720-86,2024-02-27,train,0.0,Defensivos,8.0
23695,003.250.720-86,2024-04-03,train,0.0,Fertilizantes,8.0
29754,003.250.720-86,2024-06-10,train,0.0,Sementes,2.0
29892,003.250.720-86,2024-06-11,train,0.0,Fertilizantes,9.0
34779,003.250.720-86,2024-08-06,train,0.0,Máquinas,8.0
34871,003.250.720-86,2024-08-07,train,0.0,Máquinas,7.0
35263,003.250.720-86,2024-08-11,train,0.0,Máquinas,9.0
35275,003.250.720-86,2024-08-11,train,0.0,Fertilizantes,8.0
35322,003.250.720-86,2024-08-12,train,0.0,Defensivos,6.0
41481,003.250.720-86,2024-10-20,train,0.0,Sementes,3.0
42108,003.250.720-86,2024-10-27,train,0.0,Máquinas,8.0
42261,003.250.720-86,2024-10-29,train,0.0,Máquinas,0.0
45530,003.250.720-86,2024-12-05,train,0.0,Defensivos,7.0
50258,003.250.720-86,2025-01-27,train,0.0,Máquinas,9.0
51453,003.250.720-86,2025-02-10,train,0.0,Defensivos,6.0
53770,003.250.720-86,2025-03-08,train,0.0,Sementes,1.0
54808,003.250.720-86,2025-03-20,train,0.0,Fertilizantes,7.0
60041,003.250.720-86,2025-05-20,train,0.0,Máquinas,1.0
60123,003.250.720-86,2025-05-21,train,0.0,Máquinas,6.0
62049,003.250.720-86,2025-06-13,train,0.0,Sementes,8.0
65899,003.250.720-86,2025-07-27,train,0.0,Máquinas,6.0
69787,003.250.720-86,2025-09-09,train,0.0,Defensivos,1.0
74741,003.250.720-86,2025-11-04,val,0.0,Máquinas,5.0
76337,003.250.720-86,2025-11-21,val,0.0,Máquinas,7.0
78421,003.250.720-86,2025-12-15,val,0.0,Fertilizantes,9.0
78554,003.250.720-86,2025-12-16,val,0.0,Máquinas,7.0
78733,003.250.720-86,2025-12-18,val,0.0,Máquinas,4.0
79025,003.250.720-86,2025-12-21,val,0.0,Máquinas,6.0
